misspelled_word,correct_word
ldeger,ledger
finnace,finance
validtaion,validation
password,password
laon,loan
witdhrawal,withdrawal
savinsg,savings
proift,profit
paymetn,payment
balacne,balance
saivngs,savings
scheudle,schedule
psasword,password
wier,wire
paymetn,payment
tax,tax
guaarntee,guarantee
pamyent,payment
valiadtion,validation
depsoit,deposit
mobiel,mobile
shcedule,schedule
bnak,bank
insuranec,insurance
psasword,password
auhtentication,authentication
beneficiayr,beneficiary
portfoilo,portfolio
chrage,charge
liimt,limit
mortagge,mortgage
portfoloi,portfolio
dveice,device
csah,cash
usre,user
fruad,fraud
beenficiary,beneficiary
bugdet,budget
benefiicary,beneficiary
vocuher,voucher
trnasaction,transaction
wallet,wallet
depoist,deposit
receitp,receipt
deposti,deposit
investmnet,investment
liimt,limit
tax,tax
portoflio,portfolio
barnch,branch
finanec,finance
sepnding,spending
ugprade,upgrade
svaings,savings
cahs,cash
rsik,risk
fradu,fraud
uesr,user
bill,bill
branhc,branch
crad,card
valiadtion,validation
tarnsfer,transfer
gatewya,gateway
deviec,device
perosnal,personal
uesr,user
fese,fees
bnak,bank
bill,bill
depsoit,deposit
chagre,charge
fiannce,finance
custmoer,customer
balnace,balance
riks,risk
ldeger,ledger
bakn,bank
withdarwal,withdrawal
pin,pin
finnace,finance
secuirty,security
debti,debit
payemnt,payment
persnoal,personal
sttaement,statement
dgiital,digital
budgte,budget
salayr,salary
deviec,device
savnigs,savings
vlaidation,validation
rceeipt,receipt
account,account
registratoin,registration
blaance,balance
bnak,bank
truts,trust
chrage,charge
wrie,wire
inusrance,insurance
deviec,device
casbhack,cashback
tax,tax
bakn,bank
ldeger,ledger
rceeipt,receipt
otp,otp
ledgre,ledger
auhtentication,authentication
bnak,bank
ntoification,notification
pyament,payment
baalnce,balance
validaiton,validation
remitatnce,remittance
bnak,bank
accuont,account
balanec,balance
deivce,device
tax,tax
truts,trust
tokne,token
withdrawla,withdrawal
interets,interest
porfit,profit
cadr,card
perosnal,personal
fnud,fund
voucehr,voucher
paymetn,payment
bakn,bank
paymnet,payment
lona,loan
supoprt,support
mortagge,mortgage
transactoin,transaction
auhtentication,authentication
accuont,account
vlaidation,validation
tax,tax
installemnt,installment
statemnet,statement
cusotmer,customer
cadr,card
fudn,fund
protfolio,portfolio
blaance,balance
gateawy,gateway
transcation,transaction
tax,tax
cahrge,charge
lona,loan
depsoit,deposit
mortgaeg,mortgage
transactoin,transaction
wtihdrawal,withdrawal
valiadtion,validation
app,app
mortgaeg,mortgage
tax,tax
rtae,rate
investmetn,investment
inevstment,investment
lcok,lock
deposti,deposit
branhc,branch
tranasction,transaction
transcation,transaction
gateawy,gateway
csah,cash
spuport,support
trasnaction,transaction
personla,personal
savinsg,savings
insuracne,insurance
csah,cash
reigstration,registration
passwodr,password
bneeficiary,beneficiary
trasnaction,transaction
benfeiciary,beneficiary
shcedule,schedule
inteerst,interest
validaiton,validation
vouchre,voucher
budegt,budget
wier,wire
vuocher,voucher
documnet,document
wrie,wire
protfolio,portfolio
rsik,risk
overdratf,overdraft
trasnaction,transaction
ivnestment,investment
wier,wire
otp,otp
